번호,제목,저자,출판사,출판일
15,Autonomous Vehicles and Road Safety,"Michałowska,  Maria; Ogłoziński,  Mariusz",Springer,2017
16,Trajectory tracking for autonomous vehicles on varying road surfaces by friction-adaptive nonlinear model predictive control,K. Berntorp ; R. Quirynen ; T. Uno ; S. Di Cairano,Taylor & Francis,2020
17,Autonomous underground tramming for center-articulated vehicles,"Marshall, J.; Barfoot, T.; Larsson, J.",WILEY & SONS,2008
18,Autonomous Unmanned Aerial Vehicles for Examining Current and Evolving Distribution of Contamination from the FDNPP Accident - 17020,"Martin,  Peter; Payton,  Oliver; Fardoulis,  John; Richards,  David; Scott,  Thomas; Yamashiki,  Yosuke","Curran Associates, Inc",2017
19,Autonomous State Estimation and Mapping in Unknown Environments With Onboard Stereo Camera for Micro Aerial Vehicles,"Sun, Jiabi; Song, Jin; Chen, Haoyao; Huang, Xiaopeng; Liu, Yunhui",IEEE,2020
20,Autonomous Robot-Like Mobile Chargers for Electric Vehicles at Public Parking Facilities,unknown,IEEE,2019
21,Autonomous Planning and Control for Intelligent Vehicles in Traffic,"You, Changxi; Lu, Jianbo; Filev, Dimitar; Tsiotras, Panagiotis",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC,2020
22,Autonomous underwater vehicles (AUVs) and investigations of the ice-ocean interface in Antarctic and Arctic waters,"Dowdeswell, J.A.; Evans, J.; Mugford, R.; Griffiths, G.; McPhail, S.; Millard, N.; Stevenson, P.; Brandon, M.A.; Banks, C.; Heywood, K.J.",THE INTERNATIONAL GLACIOLOGICAL SOCIETY,2008
23,Autonomous Vehicles That Interact With Pedestrians: A Survey of Theory and Practice,"Rasouli, Amir; Tsotsos, John K.",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC,2020
24,Autonomous vehicles are the next step forward in UAV technology,unknown,unknown,2008
25,"Autonomous Underwater Vehicles (AUVs): Their past, present and future contributions to the advancement of marine geoscience","Wynn, R. B.; Huvenne, V. A.; Le Bas, T. P.; Murton, B. J.; Connelly, D. P.; Bett, B. J.; Ruhl, H. A.; Morris, K. J.; Peakall, J.; Parsons, D. R.","Elsevier Science B.V., Amsterdam.",2014
26,Autonomous Parking of Vehicles with Intelligent Fuzzy-Neural Networks,"Moran, A.; Nagai, M.",Society of Automotive Engineers of Japan,1994
27,Autonomous Underwater Vehicles with Modeling and Analysis of 7-Phase BLDC Motor Drives,"Song, S.-H.; Yoon, Y.-H.; Lee, B.-K.; Won, C.-Y.",The Korean Institute of Electrical Engineers,2014
28,Obstacles Avoiding in Unknown Environment: As Issue for Underwater Autonomous Vehicles,"Conte, G.;Zanoli, S. M.",Autonomous Undersea Systems Institute,1993
29,Autonomous Vehicles and Unmanned Aerial Systems: Data Collection and Liability [Leading Edge],"Rodriguez, Gregory","THE IEEE, INC.",2019
30,Ocean Science at NOAA in the Age of Autonomous Underwater Vehicles,"Manley, J.E.",Autonomous Undersea Systems Institute,2005
31,A Framework for Modeling Human-like Driving Behaviors for Autonomous Vehicles in Driving Simulators,"Al-Shihabi, T.;Mourant, R. R.",ACM Press,2001
32,Autonomous Vehicles That Interact With Pedestrians: A Survey of Theory and Practice,unknown,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC,2020
33,Autonomous Evasive Maneuver of Articulated Heavy Vehicles with Model Predictive Control,"Satoh, Y.; Oguchi, T.; Yoshimura, T.",Society of Automotive Engineers of Japan,2008
34,Autonomous Vehicles Are Connecting... [Connected Vehicles],"Uhlemann, E.","Institute of Electrical and Electronics Engineers, Inc.",2015
35,A Small Agent Based Detachable Tether System for Underwater Manipulation Task by Autonomous Underwater Vehicles,"Yu, S.-C.; Yi, K.Y.; Kim, T.-W.; Choi, S.K.; Ura, T.; Yuh, J.",Autonomous Undersea Systems Institute,2005
36,Autonomous Vehicles Sideslip Angle Estimation: Single Antenna GNSS/IMU Fusion With Observability Analysis,"Xia, Xin; Hashemi, Ehsan; Xiong, Lu; Khajepour, Amir; Xu, Nan",IEEE,2021
37,Semi-Autonomous Longitudinal Guidance for Pedestrian Protection in Electric Vehicles by Means of Optimal Control,"Rothermel,  Thomas; Pitz,  Jürgen; Reuss,  Hans-Christian",Society of Automotive Engineers,2016
38,Rational Behavior Model: An Implemented Tri-Level Multilingual Software Architecture for Control of Autonomous Underwater Vehicles,"Byrnes, R.;Kwak, S.-H.;McGhee, R. B.;Healey, A. J.",Autonomous Undersea Systems Institute,1993
39,"Autonomous vehicles, human agency and the potential of urban life","Yeo, Si Jie Ivin; Lin, Weiqiang",John Wiley & Sons Ltd,2020
40,Vehicle Interference Effects in Warehousing Systems with Autonomous Vehicles,"Roy, D.; Krishnamurthy, A.; Heragu, S.; Malmborg, C.","Norcross, GA; Institute of Industrial Engineers",2010
41,"Autonomous vehicles, car-dominated environments, and cycling: Using an ethnography of infrastructure to reflect on the prospects of a new transportation technology","Latham, Alan; Nattrass, Michael","Elsevier Science B.V., Amsterdam.",2019
42,Autonomous hierachical control of multiple unmanned combat air vehicles (UCAVs),"Li, S.-M.; Boskovic, J. D.; Seereeram, S.; Prasanth, R.; Amin, J.; Mehra, R. K.; Beard, R. W.; McLain, T. W.",unknown,2002
43,Autonomous Last-Mile Delivery Vehicles in Complex Traffic Environments,"Li, Bai; Liu, Shaoshan; Tang, Jie; Gaudiot, Jean-Luc; Zhang, Liangliang; Kong, Qi",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
44,"Autonomous Vehicles and Avoiding the Trolley (Dilemma): Vehicle Perception, Classification, and the Challenges of Framing Decision Ethics","Cunneen, Martin; Mullins, Martin; Murphy, Finbarr; Shannon, Darren; Furxhi, Irini; Ryan, Cian",Taylor & Francis,2020
45,AUTONOMOUS CONTROL OF UNINHABITED COMBAT AIR VEHICLES IN HEAVILY-TRAFFICKED MILITARY AIRSPACE (AIAA 2014-2287),"Smith, K.; Stengel, R.F.","Reston, VA; American Institute of Aeronautics and Astronautics",2014
46,Autonomous vehicles take it to the limit in the Mojave Desert,"Russell, H.",PTN PUBLISHING CO.,2005
47,Autonomous Vehicles with Particular Reference to Autonomous UVs,"McFarlane, J.",AUVS,1994
48,Autonomous robotic vehicles,"Hall, Steven G; Price, Randy R",ASAE,2003
49,Autonomous Underwater Vehicles and Their Application in Deep-sea Mining,"Li, Y.; Yan, K.",Columbia; Marine Technology Society,2009
50,Autonomous Control of Unmanned Combat Air Vehicles,"Ure, N.K.; Inalhan, G.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2012
51,Autonomous Underwater Vehicles for Ocean Exploration,"Manley, J. E.",IEEE; 1998,2003
52,Autonomous Navigation of Vehicles from a Visual Memory Using a Generic Camera Model,"Courbon, J.; Mezouar, Y.; Martinet, P.",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC,2009
53,Semi-autonomous vehicles with routing flexibility - functionality and application areas,"Ujvari, S.; Hilmola, O.-P.",Inderscience,2009
54,AUTONOMOUS SYSTEM FOR PEST BIRD CONTROL IN SPECIALTY CROPS USING UNMANNED AERIAL VEHICLES,"Ampatzidis,  Yiannis; Ward,  Joshua; Samara,  Omar",American Society of Agricultural Engineers.,2015
55,Vehicle Following Controller Design for Autonomous Intelligent Vehicles,"Chien, C. C.; Mayr, R.; Lai, M. C.",NASA,1994
56,Autonomous navigation for underwater vehicles,"Cazali, E.;Sawyer, J.",Microwave Exhibitions and Publishers,1994
57,Autonomous vehicles in urban agglomerations,"Włodzimierz, Choromański; Iwona, Grabarek","Elsevier Science B.V., Amsterdam",2019
58,Autonomous Path Planning for On-Orbit Servicing Vehicles,"McInnes, C. R.",BRIT INTERPLANETARY SOC,2000
59,Autonomous Collision Avoidance of flying Vehicles AIAA Paper,"Szu, H.; Krapels, K.",AIAA,2007
60,Autonomous Target Detection and Localization Using Cooperative Unmanned Aerial Vehicles,"Yoon, Y.; Gruber, S.; Krakow, L.; Pack, D.",New York; Springer; 1999,2009
61,Autonomous Underwater Vehicles (AUV) Acoustic Array and Drive System,unknown,Nexus,2007
62,Autonomous Navigation of Ground Transport Vehicles on the Basis of 3D Standards,"Vasin, Y. G.; Lebedev, L. I.",NAUKA/INTERPERIODICA PUBLISHING,2003
63,Autonomous Underwater Vehicles for Survey Operations: Theory and Practice,"Healey, A.;Pascoal, A.;Lobo, F.",IEEE,1998
64,Path-tracking and lateral stabilisation for autonomous vehicles by using the steering angle envelope,"Cui, Qingjia; Ding, Rongjun; Wei, Chongfeng; Zhou, Bing",Taylor & Francis,2021
65,"Autonomous vehicles lite self-driving technologies should start small, go slow","Liu, Shaoshan; Gaudiot, Jean-Luc",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
66,Autonomous vehicles for ore prospecting: robots in the air and water,"Scott, Thomas; Day, J. C. C.; Martin, P.; Connor, D.; Teague, J.",INSTITUTE OF MINING AND METALLURGY,2017
67,Autonomous Distributed Aerial Observation System Using Electric Ducted Fan Micro Aerial Vehicles,"Kubo, D.; Nagasaka, N.; Suzuki, S.",American Institute of Aeronautics and Astronautics,2009
68,"Autonomous vehicles in the sustainable cities, the beginning of a green adventure","Chehri, Abdellah; Mouftah, Hussein T.",Elsevier Science,2019
69,Autonomous underwater vehicles localisation in mobile underwater networks,"Wei, Xiaohui; Wang, Xingwang; Bai, Xin; Bai, Sen; Liu, Jun",INDERSCIENCE ENTERPRISES LTD,2017
70,Autonomous vehicles opportunities for cities air quality,"Rafael, Sandra; Correia, Luís P.; Lopes, Diogo; Bandeira, Jorge; Coelho, Margarida C.; Andrade, Mário; Borrego, Carlos; Miranda, Ana I.","Elsevier Science B.V., Amsterdam.",2020
71,Autonomous Undersea Vehicles for Monitoring Large Marine Ecosystems,"Dunn, S.",AMERICAN SOCIETY OF CIVIL ENGINEERS,1995
72,Autonomous Key Management (AKM) Security Architecture for Air (and Defense) Vehicles and IoT Applications,"Shields, Jon Barton; Barker, Brian Peirce",Society of Automotive Engineers,2017
73,Autonomous Navigation System Based on GPS for Agricultural Vehicles,"Zhou, J.J.; Wang, X.; Wang, X.F.; Liu, G.; Li, S.",TRANS TECH PUBLICATION LTD,2013
74,Autonomous Vehicles in Spain — Working to Drastically Reduce Accidents and Congestion,"Martínez,  Pedro Tomás; García-Cano,  Jaime Moreno; Ballesteros,  Juan José Arriola; Bergareche,  Ana Isabel Blanco",AIPCR,2017
75,Vehicle Speed and Gear Position Co-Optimization for Energy-Efficient Connected and Autonomous Vehicles,"Shao, Yunli; Sun, Zongxuan",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS,2021
76,Autonomous Landing of Vertical Takeoff and Landing (VTOL) Unmanned Aerial Vehicles (UAV&amp;#8217; s) using Vision,"Surisetti, R.","Australia; Institution of Engineers, Australia and Royal Aeronautical Society, Australian Division.; year",2005
77,Autonomous Formation Flight Test of Multi-Micro Aerial Vehicles,"You, D. I.; Shim, D. H.",Springer Science + Business Media,2011
78,AUTONOMOUS VEHICLES The technology whose time has come,"Winston, Clifford",UNKNOWN,2021
79,Autonomous Control of Micro Aircraft Vehicles Falling Through an Atmospheric Boundary Layer,"Dorgan, A. J.; Loth, E.; Frazzoli, E.",AMERICAN INST OF AERONAUTICS AND ASTRONAUTICS,2005
80,Autonomous Navigation for Micro Aerial Vehicles in Complex GNSS-denied Environments,"Nieuwenhuisen, M.; Droeschel, D.; Beul, M.; Behnke, S.",Springer Science + Business Media,2016
81,Autonomous path tracking control of intelligent electric vehicles based on lane detection and optimal preview method,"Zhang, Xizheng; Zhu, Xiaolin","Elsevier Science B.V., Amsterdam.",2019
82,Autonomous formation flight of multiple flapping-wing flying vehicles using motion capture system,"Kim, H. Y.; Lee, J. S.; Choi, H. L.; Han, J. H.","Elsevier Science B.V., Amsterdam.",2014
83,Autonomous target following by unmanned aerial vehicles [6230-42],"Rafi, F.; Khan, S.; Shafiq, K.; Shah, M.",International Society for Optical Engineering; 1999,2006
84,Autonomous underwater vehicles support for enhanced performance in the Internet of underwater things,"Al‐Bzoor, Manal; Al‐assem, Esraa; Alawneh, Luay; Jararweh, Yaser",John Wiley & Sons Ltd,2021
85,AUTONOMOUS MULTI-SENSOR SURVEY WITH TEAMED GROUND AND AIR VEHICLES,"Batzdorfer,  Simon; Bobbe,  Markus; Becker,  Martin; Bestmann,  Ulf",ADVANSTAR COMMUNICATIONS INC,2018
86,Autonomous navigation and obstacle avoidance for unmanned surface vehicles [6230-09],"Larson, J.; Bruch, M.; Ebken, J.",International Society for Optical Engineering; 1999,2006
87,Autonomous Orchard Vehicles for Specialty Crops Production,"Hamner, B.; Bergerman, M.; Singh, S.","New York, N.Y.; ASABE",2011
88,Vehicle Following Controller Design for Autonomous Intelligent Vehicles,"Chien, C. C.",AMERICAN AUTOMATIC CONTROL COUNCIL,1994
89,Autonomous Parvoviruses as Gene Transfer Vehicles,"Palmer, G. A.",KARGER,2000
90,Autonomous Underwater Vehicles for Ocean Research: Current Needs and State of the Art Technologies,"Sibenac, M.; Podder, T.; Kirkwood, W.; Thomas, H.",MARINE TECHNOLOGY SOCIETY INC,2004
91,Autonomous Unmanned Aerial Vehicles Filming In Dynamic Unstructured Outdoor Environments [Applications Corner],"Mademlis, Ioannis; Nikolaidis, Nikos; Tefas, Anastasios; Pitas, Ioannis; Wagner, Tilman; Messina, Alberto",INSTITUTE OF ELECTRICAL AND ELECTRONIC ENGINEERS,2018
92,Autonomous road navigation for unmanned ground vehicles [2463-27],"Speigle, S. A.",SPIE INTERNATIONAL SOCIETY FOR OPTICAL,1995
93,Autonomous health management for PMSM rail vehicles through demagnetization monitoring and prognosis control,"Niu, Gang; Jiang, Junjie; Youn, Byeng D.; Pecht, Michael",INSTRUMENTATION SYSTEMS AND AUTOMATION SOCIETY,2018
94,Autonomous target following by unmanned aerial vehicles [6230-42],"Rafi, F.; Khan, S.; Shafiq, K.; Shah, M.",International Society for Optical Engineering; 1999,2006
95,Vehicle Following Controller Design for Autonomous Intelligent Vehicles,"Chien, C. C.",N A S A,1994
96,Autonomous Vehicles,"Meyrowitz, A. L.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,1996
97,Autonomous following lateral control of heavy vehicles using laser scanning radar,"White, R.",00,2001
98,Autonomous Entry Guidance for Hypersonic Vehicles by Convex Optimization,"Wang, Z.; Grant, M. J.",AMERICAN INST OF AERONAUTICS AND ASTRONAUTICS,2018
99,Autonomous navigation of underwater vehicles,"Branca, A.; Stella, E.; Distante, A.",IEEE,1998
100,Autonomous underwater vehicles - challenging developments and technological maturity towards strategic swarm robotics systems,"Vedachalam, N.; Ramesh, R.; Jyothi, V. Bala Naga; Doss Prakash, V.; Ramadass, G. A.",Taylor & Francis,2019
1,VTGNet: A Vision-Based Trajectory Generation Network for Autonomous Vehicles in Urban Environments,"Cai, Peide; Sun, Yuxiang; Wang, Hengli; Liu, Ming",IEEE,2021
2,Impacts of Model Fidelity on Trajectory Optimization for Autonomous Vehicles in Extreme Maneuvers,"Subosits, John K.; Gerdes, J. Christian",IEEE,2021
3,"An optimal-control-based framework for trajectory planning, threat assessment, and semi-autonomous control of passenger vehicles in hazard avoidance scenarios","Anderson, Sterling J.; Peters, Steven C.; Pilutti, Tom E.; Iagnemma, Karl",INDERSCIENCE ENTERPRISES LTD,2010
4,Advanced headway control via adaptive seeking sliding mode for autonomous off-road vehicles,"Yu, Hai; Ozguner, Umit",INDERSCIENCE ENTERPRISES LTD,2007
5,Follow the Past: a path-tracking algorithm for autonomous vehicles,"Hellstrom, Thomas; Ringdahl, Ola",INDERSCIENCE ENTERPRISES LTD,2006
6,Controlled chassis systems of autonomous multi-support vehicles,"Lomako, Gennady; Ostanin, Alexander",INDERSCIENCE ENTERPRISES LTD,2003
7,Prediction–based hierarchical control framework for autonomous vehicles,"Jain, Varun; Weiskircher, Thomas",INDERSCIENCE ENTERPRISES LTD,2014
8,Mechatronic system for intellectual control of the interaction between road and wheels of the autonomous ground vehicles,"Fourounjiev, R.; Slabko, Y.",INDERSCIENCE ENTERPRISES LTD,2011
9,Global path planning for autonomous vehicles in off-road environment via an A-star algorithm,"Liu, Qinghe; Zhao, Lijun; Tan, Zhibin; Chen, Wen",INDERSCIENCE ENTERPRISES LTD,2017
10,Interval Type 2 Fuzzy Logic Control for Energy Management of Hybrid Electric Autonomous Vehicles,"Phan, Duong; Bab-Hadiashar, Alizera; Fayyazi, Mojgan; Hoseinnezhad, Reza; Jazar, Reza N.; Khayyam, Hamid",IEEE,2021
11,"A review on threat assessment, path planning and path tracking strategies for collision avoidance systems of autonomous vehicles","Hamid, Umar Zakir Abdul; Saito, Yuichi; Zamzuri, Hairi; Rahman, Mohd Azizi Abdul; Raksincharoensak, Pongsathorn",INDERSCIENCE ENTERPRISES LTD,2018
12,Motion Planning of Autonomous Road Vehicles by Particle Filtering,unknown,IEEE,2019
13,"An optimal-control-based framework for trajectory planning, threat assessment, and semi-autonomous control of passenger vehicles in hazard avoidance scenarios","Anderson, S.J.; Peters, S.C.; Pilutti, T.E.; Iagnemma, K.",INDERSCIENCE ENTERPRISES LTD,2010
14,Optimisation of high-speed crash avoidance in autonomous vehicles,"Best, M.C.",INDERSCIENCE ENTERPRISES LTD,2012
15,Advanced headway control via adaptive seeking sliding mode for autonomous off-road vehicles,"Yu, H.; Ozguner, U.",INDERSCIENCE ENTERPRISES LTD,2007
16,Real-time path planning module for autonomous vehicles in cluttered environment using a 3D camera,"Francis, Sobers L.X.; Anavatti, Sreenatha G.; Garratt, Matthew",INDERSCIENCE ENTERPRISES LTD,2018
17,Autonomous Vehicles: Hype and Potential Autonomous private vehicles could boost sprawl and the number of miles traveled. Autonomous rapid transit promises a much greater payoff,"Calthorpe,  Peter; Walters,  Jerry",ULI-THE URBAN LAND INSTITUTE,2017
18,Seafloor Mapping and Target Identification Using Autonomous Underwater Vehicles: Applied AUV Experiments in Nearshore Settings of Florida,"Mallinson, D.;Naar, D.;Hine, A.;Wilder, D.",Autonomous Undersea Systems Institute,1999
19,Curvature-optimal path planning and servoing for autonomous vehicles: a neural net implementation,"Rintanen, K. T.",Pergamon Press,1993
20,Autonomous vehicles: Willingness to pay and the social dilemma,"Morita, Tamaki; Managi, Shunsuke","Elsevier Science B.V., Amsterdam",2020
21,Autonomous vehicles: The next jump in accessibilities?,"Meyer, Jonas; Becker, Henrik; Bösch, Patrick M.; Axhausen, Kay W.",ELSEVIER SCIENCE B.V. AMSTERDAM,2017
22,AUTONOMOUS VEHICLES: NO DRIVER...NO REGULATION?,"Claybrook, J.; Kildare, S.",AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,2018
23,"Autonomous vehicles' disengagements: Trends, triggers, and regulatory limitations","Favarò, Francesca; Eurich, Sky; Nader, Nazanin","Elsevier Science B.V., Amsterdam.",2018
24,"Autonomous Unmanned Vehicles: In Space, Air, Water, and on the Ground","Schoenwald, D. A.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2000
25,Autonomous underwater vehicles: future platforms for fisheries acoustics,"Fernandes, P. G.; Stevenson, P.; Brierley, A. S.; Armstrong, F.; Simmonds, E. J.","Elsevier Science B.V., Amsterdam",2003
26,Autonomous vehicles: U.S. regulatory policy challenges,"Hemphill, Thomas A.","Elsevier Science B.V., Amsterdam.",2020
27,Autonomous Vehicles: Implications for Employment Demand,"Miller,  Jennifer M.",NATIONAL ACADEMY OF ENGINEERING,2015
28,"Autonomous vehicles: who will use them, and will they share?","Clayton, William; Paddeu, Daniela; Parkhurst, Graham; Parkin, John",Taylor & Francis,2020
29,Autonomous Transport Vehicles: Where We Are and What Is Missing,"Andreasson, H.; Bouguerra, A.; Cirillo, M.; Dimitrov, D.N.; Driankov, D.; Karlsson, L.; Lilienthal, A.J.","THE IEEE, INC.",2015
30,Autonomous vehicles: theoretical and practical challenges,"Martínez-Díaz, Margarita; Soriguera, Francesc","Elsevier Science B.V., Amsterdam",2018
31,"Autonomous Forest Vehicles: Historic, envisioned, and state-of-the-art","Hellstrom, T.; Larkeryd, P.; Nordfjell, T.; Ringdahl, O.",UNB,2009
32,Vehicle-Mounted Base Station for Connected and Autonomous Vehicles: Opportunities and Challenges,"Li, Changle; Luo, Quyuan; Mao, Guoqiang; Sheng, Min; Li, Jiandong",IEEE,2019
33,"Autonomous vehicles: a review of the ethical, social and economic implications of the AI revolution","Banerjee, Shweta",Emerald,2020
34,Autonomous road vehicles: recent issues and expectations,"Skrickij, Viktor; Šabanovič, Eldar; Žuraulis, Vidas",IEE,2020
35,Autonomous underwater vehicles: Instrumentation and measurements,"Sanchez, Pedro Jose Bernalte; Papaelias, Mayorkinos; Marquez, Fausto Pedro Garcia",INSTITUTE OF ELECTRICAL & ELECTRONIC ENGINEERS,2020
36,Autonomous Underwater Vehicles: A Transformation in Mine Counter-Measure Operations,"Nguyen, B.; Hopkin, D.; Yip, H.",CARFAX PUBLISHING,2008
37,Autonomous Underwater Vehicles: Trends and Transformations,"Curtin, T. B.; Crimmins, D. M.; Curcio, J.; Benjamin, M.; Roper, C.",MARINE TECHNOLOGY SOCIETY INC,2005
38,Autonomous Underwater Vehicles: An Application of Intelligent Control Technology,"Healey, A. J.",AMERICAN AUTOMATIC CONTROL COUNCIL,1995
39,Autonomous or driver-less vehicles: Implementation strategies and operational concerns,"Masoud, Neda; Jayakrishnan, R.","Elsevier Science B.V., Amsterdam.",2017
40,Autonomous Vehicles: From Flight Control to Mission Planning Using Fuzzy Logic Techniques,"Vachtsevanos, G.; Kim, W.; Al-Hasan, S.; Rufus, F.",IEEE,1997
41,Autonomous Vehicles: Autodriver Algorithm and Vehicle Dynamics,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
42,Autonomous Underwater Vehicles-A Data Collection Tool for Ambient Noise Measurement in an Arctic Environment,"Tonge, A. M.",INSTITUTE OF ACOUSTICS,1991
43,Autonomous vehicles: scientometric and bibliometric review,"Gandia, Rodrigo Marçal; Antonialli, Fabio; Cavazza, Bruna Habib; Neto, Arthur Miranda; Lima, Danilo Alves de; Sugano, Joel Yutaka; Nicolai, Isabelle; Zambalde, Andre Luiz",Taylor & Francis,2019
44,Semi-autonomous vehicles: Usage-based data evidences of what could be expected from eliminating speed limit violations,"Pérez-Marín, Ana M.; Guillen, Montserrat","Elsevier Science B.V., Amsterdam.",2019
45,Autonomous Control in Military Logistics Vehicles: Trust and Safety Analysis,"Gempton, N.; Skalistis, S.; Furness, J.; Shaikh, S.; Petrovic, D.",SPRINGER-VERLAG,2013
46,Vehicle-Life Interaction in Fog-Enabled Smart Connected and Autonomous Vehicles,"Feroz, Bushra; Mehmood, Amjad; Maryam, Hafsa; Zeadally, Sherali; Maple, Carsten; Shah, Munam Ali",IEEE,2021
47,Autonomous Underwater Vehicles: The Latest Tool for Archaeological Investigations,"Church, R. A.; Warren, D. J.",MARINE TECHNOLOGY SOCIETY INC,2002
48,Autonomous Vehicles: The Implications on Urban Transportation and Traffic Flow Theory,"Farmer,  Dwight L.",INSTITUTE OF TRANSPORTATION ENGINEERS,2016
49,Autonomous Vehicles: from Whether and When to Where and How,Luciano Floridi,Springer,2019
50,"IMECE2005-81248 Autonomous, Line-Tracking Vehicles: A Mechatronics Term Project","Murray, W. R.","New York, N.Y.:; American Society of Mechanical Engineers,",2005
51,"Governing autonomous vehicles: emerging responses for safety, liability, privacy, cybersecurity, and industry risks","Taeihagh, Araz; Lim, Hazel Si Min",Taylor & Francis,2019
52,Self‐powered autonomous underwater vehicles: results from a gyroscopic energy scavenging prototype,"Townsend, Nicholas C",IET,2016
53,Platooning with DSRC-Based IVC-Enabled Autonomous Vehicles: Adding Infrared Communications for IVC Reliability Improvement,"Fernandes, P.; Nunes, U.","Piscataway, NJ; IEEE",2012
54,Shared Autonomous Vehicles: Catalyst of New Mobility for the Last Mile?,Michael Ohnemus; Anthony Perl,Kogan Page,2016
55,Adaptive Autonomous Underwater Vehicles: An Assessment of Their Effectiveness for Oceanographic Applications,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
56,Connected Vehicles and Autonomous Vehicles: Where Do ITE Members Stand?,"Lin, P.-S.; Beaubien, R.; Lower, J.A.; Voorhies, K.O.",INSTITUTE OF TRANSPORTATION ENGINEERS,2013
57,Advancing Autonomous Surface Vehicles: A 3D Perception System for the Recognition and Assessment of Docking-Based Structures,"Pereira, Maria Ines; Claro, Rafael Marques; Leite, Pedro Nuno; Pinto, Andry Maykol",IEEE,2021
58,"Fully autonomous vehicles: analyzing transportation network performance and operating scenarios in the Greater Toronto Area, Canada","Kloostra, Bradley; Roorda, Matthew J.",Taylor & Francis,2019
59,Shaping driver-vehicle interaction in autonomous vehicles: How the new in-vehicle systems match the human needs,"Sun, Xu; Cao, Shi; Tang, Pinyan","Elsevier Science B.V., Amsterdam",2021
60,Blockchain and Autonomous Vehicles: Recent Advances and Future Directions,"Jain, Saurabh; Ahuja, Neelu Jyothi; Srikanth, P.; Bhadane, Kishor Vinayak; Nagaiah, Bharathram; Kumar, Adarsh; Konstantinou, Charalambos",IEEE,2021
61,"Unmanned Military Vehicles: Autonomous robots will soon be patrolling land, sea and air","Weber, A.",HITCHCOCK PUBLISHING COMPANY,2010
62,Modeling shared autonomous electric vehicles: Potential for transport and power grid integration,"Iacobucci, Riccardo; McLellan, Benjamin; Tezuka, Tetsuo","Elsevier Science B.V., Amsterdam.",2018
63,Dawn of autonomous vehicles: review and challenges ahead,Nuno Sousa; Arminda Almeida; João Coutinho-Rodrigues; Eduardo Natividade-Jesus,I C E Publishing,2018
64,"Internet of Autonomous Vehicles: Architecture, Features, and Socio-Technological Challenges","Jameel, Furqan; Chang, Zheng; Huang, Jun; Ristaniemi, Tapani",IEEE,2019
65,Connected and autonomous vehicles: why civil engineers need to act now,John McCarthy,I C E Publishing,2016
66,"Perceptions of autonomous vehicles: Relationships with road users, risk, gender and age","Hulse, Lynn M.; Xie, Hui; Galea, Edwin R.","Elsevier Science B.V., Amsterdam.",2018
67,Implications of Autonomous Vehicles: A Planner's Perspective,unknown,INSTITUTE OF TRANSPORTATION ENGINEERS,2016
68,The Kinematic Bicycle Model: A Consistent Model for Planning Feasible Trajectories for Autonomous Vehicles?,"Polack, Philip; Altché, Florent; d Andréa-Novel, Brigitte; de La Fortelle, Arnaud","Institute of electrical and Electronics Engineers, Inc",2017
69,Supervision of Autonomous Vehicles: Mutual Modeling and Interaction Management,"Coppin, G.; Legras, F.; Saget, S.",SPRINGER-VERLAG,2009
70,TECHNOLOGY TRACK: AUTONOMOUS VEHICLES: FUTURE OPPORTUNITIES IN INDEPENDENCE,unknown,GERONTOLOGICAL SOCIETY OF AMERICA,2016
71,Connected and autonomous vehicles: A cyber-risk classification framework,"Sheehan, Barry; Murphy, Finbarr; Mullins, Martin; Ryan, Cian","Elsevier Science B.V., Amsterdam.",2019
72,Joint Radar-Communication Strategies for Autonomous Vehicles: Combining Two Key Automotive Technologies,"Ma, Dingyou; Shlezinger, Nir; Huang, Tianyao; Liu, Yimin; Eldar, Yonina C.",INSTITUTE OF ELECTRICAL AND ELECTRONIC ENGINEERS,2020
73,The Law Governing Autonomous Undersea Vehicles: What an Operator Needs to Know,"Showalter, S.","IEEE,",2005
74,Sharing the road with autonomous vehicles: Perceived safety and regulatory preferences,"Nair, Gopindra S.; Bhat, Chandra R.","Elsevier Science B.V., Amsterdam",2021
75,The health benefits of autonomous vehicles: public awareness and receptivity in Australia,"Pettigrew, S.; Talati, Z.; Norman, R.",PUBLIC HEALTH ASSOCAITION OF AUSTRALIA,2018
76,Safe navigation for autonomous vehicles: a purposive and direct solution [2056-07],"Young, G.-S.; Hong, T.-H.; Herman, M.; Yang, J. C. S.",SPIE,1993
